username,role,bu_name,full_name
admin,Admin,,System Administrator
bu_กลุ่มธุรกิจย่อย,BU,กลุ่มธุรกิจย่อย,Head of กลุ่มธุรกิจย่อย
bu_service_sector,BU,SERVICE SECTOR,Head of SERVICE SECTOR
bu_retail_sector,BU,RETAIL SECTOR,Head of RETAIL SECTOR
sales,AE,กลุ่มธุรกิจย่อย,Sales Lead ผู้รับผิดชอบ
90010164,AE,SERVICE SECTOR,90010164
90056525,AE,SERVICE SECTOR,90056525
90003698,AE,SERVICE SECTOR,90003698
90003978,AE,RETAIL SECTOR,90003978
90005468,AE,RETAIL SECTOR,90005468
90005898,AE,RETAIL SECTOR,90005898
90005298,AE,SERVICE SECTOR,90005298
90054135,AE,SERVICE SECTOR,90054135
90008852,AE,SERVICE SECTOR,90008852
90007113,AE,SERVICE SECTOR,90007113
90000756,AE,RETAIL SECTOR,90000756
